DoctorID,FirstName,LastName,Specialty,PhoneNumber
1,Jonathan,Gilbert,Dermatologist,+1-770-677-5560x5736
2,Rodney,Liu,Cardiologist,1778698368
3,Cynthia,Scott,Pediatrician,1771062778
4,William,Flores,Neurologist,+1-148-030-6051x000
5,Patricia,Taylor,Pediatrician,1761549436
6,Meghan,Johnson,Pediatrician,+1-253-826-6986x3321
7,George,Medina,Pediatrician,652.577.8988x8357
8,Amy,Ross,Neurologist,843-466-9717x2304
9,Lindsay,Mack,Cardiologist,001-831-500-8639x5334
10,Christopher,Peterson,Dermatologist,+1-048-784-6324
11,Pamela,Elliott,Neurologist,868-401-5508
12,Sophia,Garcia,Cardiologist,655.427.4969
13,Kevin,Suarez,Pediatrician,657.483.4208x24048
14,Sara,Wallace,Pediatrician,+1-576-542-1764
15,Michele,Tapia,Pediatrician,032.998.7552x3004
16,Brandi,Ruiz,Dermatologist,001-752-058-6907x74615
17,Mary,Warren,Neurologist,7861492302
18,Eric,Chavez,Neurologist,522.321.9936
19,Todd,Coleman,General Physician,977-037-3644x36247
20,Tina,Campbell,Pediatrician,(500)274-3031x192
21,Angela,Marquez,General Physician,001-020-753-7084x738
22,Tyler,Carlson,Neurologist,211-485-8230x81582
23,Jessica,Bowman,Cardiologist,001-698-785-7495x21270
24,Linda,Mccarthy,Dermatologist,001-172-147-2404x79160
25,Amy,Morgan,Neurologist,001-581-063-3107
26,Kyle,Martin,General Physician,263-818-0264x9451
27,Tara,Jenkins,Dermatologist,868-881-0369
28,Cody,Morton,Pediatrician,(666)487-6320
29,Amy,Miller,General Physician,(940)554-2656
30,Gerald,Carr,General Physician,(602)636-5670x7016
31,Charlotte,Wolfe,Cardiologist,549-820-2406x6227
32,Jose,Mahoney,Neurologist,618-894-5308
33,Patrick,Peters,Neurologist,(707)938-3798x63373
34,Donna,Garcia,Neurologist,527.173.7202x3024
35,Gilbert,Gomez,Neurologist,434.038.9141x61226
36,Mark,Walsh,Pediatrician,805.155.1660
37,Brittany,Knight,Cardiologist,(115)902-5683x6134
38,William,Schultz,Cardiologist,001-979-211-1946x84969
39,Alexandra,Waller,Neurologist,385.050.6824x1807
40,Sabrina,Matthews,Pediatrician,206.546.4381
41,William,Ray,Cardiologist,001-548-816-8744x616
42,Christina,Jones,Cardiologist,+1-445-199-9590x520
43,Cheryl,Bowers,General Physician,+1-536-243-4250x1296
44,Tanya,Hardy,Cardiologist,001-338-613-8389x33662
45,Morgan,Brock,Neurologist,280.199.0232
46,Scott,Leblanc,Cardiologist,073-301-4868x8927
47,David,Sellers,General Physician,715-084-1445x678
48,Sandra,Vega,General Physician,147-092-7218
49,Julie,Fritz,General Physician,(487)717-2589x89526
50,Michael,Velasquez,General Physician,829.512.9713
